City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
21,Cape Town,ZA,2022-03-23 05:32:24,-33.9258,18.4232,71.11,81,40,4.61
22,Carnarvon,AU,2022-03-23 05:32:25,-24.8667,113.6333,84.27,54,40,14.97
23,Busselton,AU,2022-03-23 05:32:25,-33.65,115.3333,77.72,31,1,3.44
24,Kalmunai,LK,2022-03-23 05:32:26,7.4167,81.8167,85.98,68,22,7.27
25,Bluff,NZ,2022-03-23 05:32:26,-46.6,168.3333,62.01,84,26,10.09
26,Rikitea,PF,2022-03-23 05:32:27,-23.1203,-134.9692,79.02,74,32,11.23
27,Itoman,JP,2022-03-23 05:30:18,26.1247,127.6694,69.82,96,75,11.5
28,Yellowknife,CA,2022-03-23 05:32:28,62.456,-114.3525,7.41,88,100,14.97
29,Hobart,AU,2022-03-23 05:30:01,-42.8794,147.3294,62.46,54,0,17.27
30,San Quintin,MX,2022-03-23 05:32:28,30.4833,-115.95,61.03,74,1,3.38
31,Korla,CN,2022-03-23 05:32:28,41.7597,86.1469,56.12,38,44,16.69
32,Uray,RU,2022-03-23 05:32:29,60.1247,64.7758,27.32,84,90,13.13
33,Leningradskiy,RU,2022-03-23 05:32:30,69.3833,178.4167,16.84,90,54,4.92
34,Leku,ET,2022-03-23 05:32:30,6.8667,38.45,70.09,58,68,2.89
35,Pisco,PE,2022-03-23 05:32:31,-13.7,-76.2167,66.25,82,0,11.5
36,Henties Bay,NA,2022-03-23 05:32:31,-22.116,14.2845,68.72,89,100,9.48
37,Mogadishu,SO,2022-03-23 05:28:04,2.0371,45.3438,82.27,83,40,8.05
38,Asau,RO,2022-03-23 05:32:32,46.4333,26.4,40.95,66,0,4.05
39,Mumford,GH,2022-03-23 05:32:32,5.2618,-0.759,80.71,85,100,10.0
40,Accra,GH,2022-03-23 05:30:20,5.556,-0.1969,82.81,83,40,8.05
41,Thompson,CA,2022-03-23 05:32:33,55.7435,-97.8558,30.36,86,100,12.66
42,Ransang,PH,2022-03-23 05:32:33,8.9603,117.5828,83.98,73,100,3.38
43,Muzhi,RU,2022-03-23 05:32:34,65.3667,64.6667,25.99,77,72,17.22
44,Avera,US,2022-03-23 05:32:34,33.194,-82.5271,64.45,81,100,15.23
45,Okha,RU,2022-03-23 05:32:35,53.5739,142.9478,21.78,74,18,13.69
46,Chicama,PE,2022-03-23 05:32:35,-7.8447,-79.1469,64.94,79,87,5.01
47,Casablanca,MA,2022-03-23 05:32:36,33.5928,-7.6192,55.62,92,100,6.62
48,Hamilton,US,2022-03-23 05:32:09,39.1834,-84.5333,65.03,57,100,12.66
49,Ushuaia,AR,2022-03-23 05:30:31,-54.8,-68.3,38.86,81,40,18.41
50,Zhigansk,RU,2022-03-23 05:32:37,66.7697,123.3711,8.85,91,100,6.2
51,Faanui,PF,2022-03-23 05:32:37,-16.4833,-151.75,81.55,72,99,9.75
52,Saint George,US,2022-03-23 05:31:17,37.1041,-113.5841,59.25,29,0,19.57
53,Vila,PT,2022-03-23 05:27:57,42.0304,-8.1588,41.88,94,100,0.83
54,Narsaq,GL,2022-03-23 05:32:38,60.9167,-46.05,23.22,69,100,8.86
55,Glendive,US,2022-03-23 05:32:38,47.1053,-104.7125,37.02,52,0,9.22
56,Rumoi,JP,2022-03-23 05:32:39,43.9344,141.6428,39.85,67,100,11.16
57,Mataura,NZ,2022-03-23 05:32:39,-46.1927,168.8643,70.29,68,11,1.07
58,Sinnamary,GF,2022-03-23 05:32:40,5.3833,-52.95,74.77,97,100,7.85
59,Kodiak,US,2022-03-23 05:32:41,57.79,-152.4072,29.71,80,100,8.05
60,Vaini,TO,2022-03-23 05:32:41,-21.2,-175.2,78.96,89,100,6.91
61,Safonovo,RU,2022-03-23 05:32:42,55.15,33.2167,33.69,86,21,3.56
62,Mehamn,NO,2022-03-23 05:32:42,71.0357,27.8492,28.35,69,75,11.5
63,Barrow,US,2022-03-23 05:32:43,71.2906,-156.7887,-14.78,70,0,12.66
64,Hasaki,JP,2022-03-23 05:32:43,35.7333,140.8333,48.6,50,95,12.12
65,Acapulco,MX,2022-03-23 05:29:31,16.8634,-99.8901,76.82,88,0,4.61
66,Hithadhoo,MV,2022-03-23 05:32:44,-0.6,73.0833,84.18,67,0,15.12
67,Jamestown,US,2022-03-23 05:32:44,42.097,-79.2353,45.95,26,100,6.91
