City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Sept-Iles,CA,50.2001,-66.3821,33.06,92,100,10.36,mist
273,Ibra,OM,22.6906,58.5334,75.67,18,0,4.47,clear sky
274,Sao Francisco De Assis,BR,-29.5503,-55.1311,71.06,60,100,10.58,overcast clouds
275,Tura,IN,25.5198,90.2201,69.37,84,3,6.33,clear sky
276,Pacific Grove,US,36.6177,-121.9166,67.39,81,40,6.91,scattered clouds
277,Rawson,AR,-43.3002,-65.1023,75.2,31,0,21.56,clear sky
278,Buritizeiro,BR,-17.3511,-44.9622,88.34,40,76,4.03,broken clouds
279,San Vicente,AR,-26.6167,-54.1333,75.7,42,0,4.68,clear sky
280,Severo-Yeniseyskiy,RU,60.3725,93.0408,8.42,89,100,13.09,overcast clouds
281,Badou,TG,7.5833,0.6,78.75,74,98,3.24,overcast clouds
282,Yeppoon,AU,-23.1333,150.7333,69.58,73,63,7.38,broken clouds
283,Klaksvik,FO,62.2266,-6.589,47.32,82,100,24.25,overcast clouds
284,Touros,BR,-5.1989,-35.4608,79.65,83,100,9.1,overcast clouds
285,Biltine,TD,14.5333,20.9167,77.52,10,5,20.76,clear sky
286,Okato,NZ,-39.2,173.8833,60.91,70,36,15.88,scattered clouds
287,Nemuro,JP,43.3236,145.575,41.27,99,100,26.98,moderate rain
288,Kpandae,GH,8.4689,-0.0113,92.61,40,65,12.37,broken clouds
289,Tamworth,GB,52.634,-1.6959,55.72,73,19,7.83,few clouds
290,Boddam,GB,57.4667,-1.7833,47.64,82,16,5.14,few clouds
291,Santa Rosa,PH,14.3122,121.1114,83.1,75,5,6.06,clear sky
292,Kijang,KR,35.2442,129.2139,51.53,77,100,2.68,overcast clouds
293,Chicama,PE,-7.8447,-79.1469,70.34,61,99,9.73,overcast clouds
294,Kulhudhuffushi,MV,6.6221,73.07,81.72,67,0,4.23,clear sky
295,Gamba,GA,-2.65,10.0,78.26,90,100,6.85,moderate rain
296,Svetlogorsk,BY,52.6333,29.7333,35.78,58,10,20.78,clear sky
297,Bloemfontein,ZA,-29.1211,26.214,56.68,77,0,3.44,clear sky
298,Ondjiva,AO,-17.0667,15.7333,70.54,41,11,4.72,few clouds
299,Yarmouth,US,41.7057,-70.2286,54.61,70,100,9.22,light rain
300,Leningradskiy,RU,69.3833,178.4167,-6.92,84,2,4.88,clear sky
301,Dingle,PH,10.9995,122.6711,76.1,90,89,6.42,overcast clouds
302,Rabat,MA,33.9911,-6.8401,60.87,88,40,5.75,scattered clouds
303,Tabuk,PH,17.4189,121.4443,73.6,84,19,1.86,few clouds
304,Tiksi,RU,71.6872,128.8694,-13.5,100,99,3.36,overcast clouds
305,Atasu,KZ,48.6814,71.6433,33.08,92,100,4.99,overcast clouds
306,Saint-Martin-Boulogne,FR,50.7269,1.6186,53.6,81,0,12.64,clear sky
307,Ashtian,IR,34.5217,50.0019,35.35,43,0,9.95,clear sky
308,Trinidad,BO,-14.8333,-64.9,78.78,57,75,5.75,broken clouds
309,Dole,FR,47.0833,5.5,58.91,41,0,9.22,clear sky
310,Xudat,AZ,41.631,48.681,38.97,89,51,6.46,broken clouds
311,Paracin,RS,43.8608,21.4078,50.88,53,1,1.61,clear sky
312,Krasnoselkup,RU,65.7,82.4667,6.6,92,100,18.61,overcast clouds
313,Kangundo,KE,-1.2979,37.3471,66.54,81,62,3.24,moderate rain
314,Pabrade,LT,55.0,25.7833,35.19,74,100,17.78,overcast clouds
315,Hakkari,TR,37.5833,44.1667,18.18,97,99,1.54,overcast clouds
316,Vung Tau,VN,10.346,107.0843,81.5,78,0,8.23,clear sky
317,Bathsheba,BB,13.2167,-59.5167,84.81,61,40,20.71,scattered clouds
318,Baruun-Urt,MN,46.6806,113.2792,18.54,49,0,6.6,clear sky
319,Ailigandi,PA,9.2333,-78.0167,81.57,75,99,11.52,overcast clouds
320,Pemangkat,ID,1.1667,108.9667,79.56,83,96,4.79,moderate rain
321,Kirakira,SB,-10.4544,161.9205,79.52,85,92,5.03,overcast clouds
322,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,74.73,85,99,6.98,overcast clouds
323,Harur,IN,12.0667,78.5,76.28,88,0,4.21,clear sky
324,Sobolevo,RU,54.4299,31.8996,30.45,73,94,20.83,overcast clouds
325,Kalemie,CD,-5.9475,29.1947,72.63,84,57,1.3,broken clouds
326,Naze,JP,28.3667,129.4833,59.92,81,100,9.93,overcast clouds
327,Necochea,AR,-38.5473,-58.7368,63.27,88,99,17.45,overcast clouds
328,Meulaboh,ID,4.1363,96.1285,78.46,82,98,3.76,overcast clouds
329,Bulaevo,KZ,54.9056,70.4439,3.63,97,100,7.63,overcast clouds
330,Buchanan,LR,5.8808,-10.0467,77.85,91,98,6.6,heavy intensity rain
331,Saint-Joseph,RE,-21.3667,55.6167,77.38,86,24,7.2,few clouds
332,Concepcion Del Oro,MX,24.6333,-101.4167,69.89,9,79,4.14,broken clouds
333,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,12.79,73,0,11.18,clear sky
334,El Escorial,ES,40.5914,-4.1474,49.44,84,97,3.15,overcast clouds
335,Quatre Cocos,MU,-20.2078,57.7625,80.71,81,14,10.89,few clouds
336,Anadyr,RU,64.75,177.4833,7.3,84,40,6.71,light snow
337,Obuasi,GH,6.206,-1.6619,72.1,95,100,2.57,moderate rain
338,Ketchikan,US,55.3422,-131.6461,45.07,76,20,11.5,few clouds
339,Luanda,AO,-8.8368,13.2343,78.8,78,75,1.14,broken clouds
340,Sinnamary,GF,5.3833,-52.95,79.84,78,84,13.51,broken clouds
341,Manavalakurichi,IN,8.1333,77.3,78.93,81,100,3.29,overcast clouds
342,Nalut,LY,30.3333,10.85,70.27,13,7,26.73,clear sky
343,College,US,64.8569,-147.8028,34.81,62,75,0.0,broken clouds
344,Iquique,CL,-20.2208,-70.1431,71.64,70,8,10.02,clear sky
345,San Patricio,US,28.017,-97.5169,91.49,22,3,11.56,clear sky
346,Esperance,AU,-33.8667,121.9,66.04,89,100,6.55,overcast clouds
